Sample Year,Field number/letter,Plot number,Depth,NTrt,NAdd,NitrAdd,NAtm+NAdd,Fenced,Orignal Fence Trt,Burned,Original Burn Trt,Original Trt,Root biomass (g/m2)
year,field,plot,depth,ntrt,nadd,fertadd,natm.nadd,fence,fence.origin,burn,burn.origin,trt.origin,mass.root
1987,A,1,0-30,9,0,0,1,1,1,0,1,1,420.2782
1987,A,2,0-30,2,1.02,3,2.02,1,1,0,1,1,543.3722
1987,A,3,0-30,4,3.4,10,4.4,1,1,0,1,1,527.5458
1987,A,4,0-30,2,1.02,3,2.02,1,1,0,1,1,559.1986
1987,A,5,0-30,9,0,0,1,1,1,0,1,1,334.1123
1987,A,6,0-30,8,27.2,80,28.2,1,1,0,1,1,610.1946
1987,A,7,0-30,7,17,50,18,1,1,0,1,1,819.4545
1987,A,8,0-30,4,3.4,10,4.4,1,1,0,1,1,566.2325
1987,A,9,0-30,6,9.52,28,10.52,1,1,0,1,1,594.3683
1987,A,10,0-30,3,2.04,6,3.04,1,1,0,1,1,582.0589
1987,A,11,0-30,8,27.2,80,28.2,1,1,0,1,1,1002.337
1987,A,12,0-30,1,0,0,1,1,1,0,1,1,571.508
1987,A,13,0-30,5,5.44,16,6.44,1,1,0,1,1,1056.8501
1987,A,14,0-30,6,9.52,28,10.52,1,1,0,1,1,715.7038
1987,A,15,0-30,3,2.04,6,3.04,1,1,0,1,1,592.6098
1987,A,16,0-30,2,1.02,3,2.02,1,1,0,1,1,402.6933
1987,A,17,0-30,8,27.2,80,28.2,1,1,0,1,1,787.8017
1987,A,18,0-30,8,27.2,80,28.2,1,1,0,1,1,599.6437
1987,A,19,0-30,5,5.44,16,6.44,1,1,0,1,1,965.4088
1987,A,20,0-30,9,0,0,1,1,1,0,1,1,304.2181
1987,A,21,0-30,6,9.52,28,10.52,1,1,0,1,1,402.6933
1987,A,22,0-30,1,0,0,1,1,1,0,1,1,305.9766
1987,A,23,0-30,4,3.4,10,4.4,1,1,0,1,1,736.8056
1987,A,24,0-30,4,3.4,10,4.4,1,1,0,1,1,383.35
1987,A,25,0-30,7,17,50,18,1,1,0,1,1,478.3082
1987,A,26,0-30,2,1.02,3,2.02,1,1,0,1,1,444.897
1987,A,27,0-30,3,2.04,6,3.04,1,1,0,1,1,594.3683
1987,A,28,0-30,5,5.44,16,6.44,1,1,0,1,1,536.3382
1987,A,29,0-30,3,2.04,6,3.04,1,1,0,1,1,822.9715
1987,A,30,0-30,3,2.04,6,3.04,1,1,0,1,1,587.3343
1987,A,31,0-30,5,5.44,16,6.44,1,1,0,1,1,705.1529
1987,A,32,0-30,5,5.44,16,6.44,1,1,0,1,1,875.726
1987,A,33,0-30,9,0,0,1,1,1,0,1,1,281.3578
1987,A,34,0-30,7,17,50,18,1,1,0,1,1,499.41
1987,A,35,0-30,2,1.02,3,2.02,1,1,0,1,1,413.2442
1987,A,36,0-30,7,17,50,18,1,1,0,1,1,786.0432
1987,A,37,0-30,3,2.04,6,3.04,1,1,0,1,1,367.5236
1987,A,38,0-30,4,3.4,10,4.4,1,1,0,1,1,430.8291
1987,A,39,0-30,6,9.52,28,10.52,1,1,0,1,1,968.9258
1987,A,40,0-30,8,27.2,80,28.2,1,1,0,1,1,661.1907
1987,A,41,0-30,4,3.4,10,4.4,1,1,0,1,1,903.8618
1987,A,42,0-30,6,9.52,28,10.52,1,1,0,1,1,604.9192
1987,A,43,0-30,2,1.02,3,2.02,1,1,0,1,1,610.1946
1987,A,44,0-30,7,17,50,18,1,1,0,1,1,875.726
1987,A,45,0-30,1,0,0,1,1,1,0,1,1,439.6215
1987,A,46,0-30,9,0,0,1,1,1,0,1,1,304.2181
1987,A,47,0-30,9,0,0,1,1,1,0,1,1,480.0667
1987,A,48,0-30,7,17,50,18,1,1,0,1,1,1039.2653
1987,A,49,0-30,5,5.44,16,6.44,1,1,0,1,1,455.4479
1987,A,50,0-30,1,0,0,1,1,1,0,1,1,608.4362
1987,A,51,0-30,6,9.52,28,10.52,1,1,0,1,1,814.179
1987,A,52,0-30,8,27.2,80,28.2,1,1,0,1,1,615.4701
1987,A,53,0-30,1,0,0,1,1,1,0,1,1,562.7155
1987,A,54,0-30,1,0,0,1,1,1,0,1,1,566.2325
1987,B,1,0-30,1,0,0,1,1,1,0,1,1,400.9348
1987,B,2,0-30,4,3.4,10,4.4,1,1,0,1,1,624.2625
1987,B,3,0-30,8,27.2,80,28.2,1,1,0,1,1,668.2247
1987,B,4,0-30,8,27.2,80,28.2,1,1,0,1,1,1526.3658
1987,B,5,0-30,5,5.44,16,6.44,1,1,0,1,1,794.8357
1987,B,6,0-30,9,0,0,1,1,1,0,1,1,407.9688
1987,B,7,0-30,6,9.52,28,10.52,1,1,0,1,1,590.8513
1987,B,8,0-30,7,17,50,18,1,1,0,1,1,334.1123
1987,B,9,0-30,5,5.44,16,6.44,1,1,0,1,1,717.4623
1987,B,10,0-30,2,1.02,3,2.02,1,1,0,1,1,780.7678
1987,B,11,0-30,1,0,0,1,1,1,0,1,1,286.6332
1987,B,12,0-30,9,0,0,1,1,1,0,1,1,344.6633
1987,B,13,0-30,2,1.02,3,2.02,1,1,0,1,1,583.8174
1987,B,14,0-30,4,3.4,10,4.4,1,1,0,1,1,520.5119
1987,B,15,0-30,7,17,50,18,1,1,0,1,1,893.3109
1987,B,16,0-30,6,9.52,28,10.52,1,1,0,1,1,951.3409
1987,B,17,0-30,1,0,0,1,1,1,0,1,1,402.6933
1987,B,18,0-30,7,17,50,18,1,1,0,1,1,724.4962
1987,B,19,0-30,6,9.52,28,10.52,1,1,0,1,1,837.0393
1987,B,20,0-30,3,2.04,6,3.04,1,1,0,1,1,490.6176
1987,B,21,0-30,9,0,0,1,1,1,0,1,1,432.5876
1987,B,22,0-30,8,27.2,80,28.2,1,1,0,1,1,576.7834
1987,B,23,0-30,3,2.04,6,3.04,1,1,0,1,1,1130.7065
1987,B,24,0-30,4,3.4,10,4.4,1,1,0,1,1,1048.0577
1987,B,25,0-30,3,2.04,6,3.04,1,1,0,1,1,677.0171
1987,B,26,0-30,2,1.02,3,2.02,1,1,0,1,1,881.0015
1987,B,27,0-30,5,5.44,16,6.44,1,1,0,1,1,1011.1295
1987,B,28,0-30,3,2.04,6,3.04,1,1,0,1,1,516.9949
1987,B,29,0-30,6,9.52,28,10.52,1,1,0,1,1,875.726
1987,B,30,0-30,5,5.44,16,6.44,1,1,0,1,1,501.1685
1987,B,31,0-30,2,1.02,3,2.02,1,1,0,1,1,467.7573
1987,B,32,0-30,6,9.52,28,10.52,1,1,0,1,1,759.666
1987,B,33,0-30,1,0,0,1,1,1,0,1,1,233.8786
1987,B,34,0-30,1,0,0,1,1,1,0,1,1,633.055
1987,B,35,0-30,9,0,0,1,1,1,0,1,1,300.7011
1987,B,36,0-30,4,3.4,10,4.4,1,1,0,1,1,522.2703
1987,B,37,0-30,9,0,0,1,1,1,0,1,1,708.6699
1987,B,38,0-30,4,3.4,10,4.4,1,1,0,1,1,515.2364
1987,B,39,0-30,8,27.2,80,28.2,1,1,0,1,1,188.158
1987,B,40,0-30,2,1.02,3,2.02,1,1,0,1,1,265.5314
1987,B,41,0-30,4,3.4,10,4.4,1,1,0,1,1,1095.5367
1987,B,42,0-30,7,17,50,18,1,1,0,1,1,371.0405
1987,B,43,0-30,3,2.04,6,3.04,1,1,0,1,1,796.5942
1987,B,44,0-30,8,27.2,80,28.2,1,1,0,1,1,200.4674
1987,B,45,0-30,5,5.44,16,6.44,1,1,0,1,1,1253.8005
1987,B,46,0-30,5,5.44,16,6.44,1,1,0,1,1,604.9192
1987,B,47,0-30,8,27.2,80,28.2,1,1,0,1,1,1427.8906
1987,B,48,0-30,3,2.04,6,3.04,1,1,0,1,1,488.8591
1987,B,49,0-30,2,1.02,3,2.02,1,1,0,1,1,685.8095
1987,B,50,0-30,7,17,50,18,1,1,0,1,1,369.2821
1987,B,51,0-30,6,9.52,28,10.52,1,1,0,1,1,386.8669
1987,B,52,0-30,9,0,0,1,1,1,0,1,1,348.1802
1987,B,53,0-30,7,17,50,18,1,1,0,1,1,1118.3971
1987,B,54,0-30,1,0,0,1,1,1,0,1,1,276.0823
1987,C,1,0-30,6,9.52,28,10.52,1,1,0,1,1,1109.6047
1987,C,2,0-30,3,2.04,6,3.04,1,1,0,1,1,1104.3292
1987,C,3,0-30,7,17,50,18,1,1,0,1,1,675.2586
1987,C,4,0-30,2,1.02,3,2.02,1,1,0,1,1,914.4127
1987,C,5,0-30,4,3.4,10,4.4,1,1,0,1,1,819.4545
1987,C,6,0-30,5,5.44,16,6.44,1,1,0,1,1,759.666
1987,C,7,0-30,3,2.04,6,3.04,1,1,0,1,1,541.6137
1987,C,8,0-30,1,0,0,1,1,1,0,1,1,761.4244
1987,C,9,0-30,6,9.52,28,10.52,1,1,0,1,1,678.7756
1987,C,10,0-30,4,3.4,10,4.4,1,1,0,1,1,1252.042
1987,C,11,0-30,2,1.02,3,2.02,1,1,0,1,1,1011.1295
1987,C,12,0-30,7,17,50,18,1,1,0,1,1,687.568
1987,C,13,0-30,6,9.52,28,10.52,1,1,0,1,1,427.3121
1987,C,14,0-30,5,5.44,16,6.44,1,1,0,1,1,655.9153
1987,C,15,0-30,8,27.2,80,28.2,1,1,0,1,1,418.5197
1987,C,16,0-30,5,5.44,16,6.44,1,1,0,1,1,916.1712
1987,C,17,0-30,2,1.02,3,2.02,1,1,0,1,1,666.4662
1987,C,18,0-30,9,0,0,1,1,1,0,1,1,596.1268
1987,C,19,0-30,4,3.4,10,4.4,1,1,0,1,1,958.3749
1987,C,20,0-30,3,2.04,6,3.04,1,1,0,1,1,643.6059
1987,C,21,0-30,8,27.2,80,28.2,1,1,0,1,1,439.6215
1987,C,22,0-30,7,17,50,18,1,1,0,1,1,919.6882
1987,C,23,0-30,8,27.2,80,28.2,1,1,0,1,1,571.508
1987,C,24,0-30,6,9.52,28,10.52,1,1,0,1,1,1088.5028
1987,C,25,0-30,7,17,50,18,1,1,0,1,1,611.9531
1987,C,26,0-30,1,0,0,1,1,1,0,1,1,629.538
1987,C,27,0-30,2,1.02,3,2.02,1,1,0,1,1,634.8135
1987,C,28,0-30,9,0,0,1,1,1,0,1,1,478.3082
1987,C,29,0-30,8,27.2,80,28.2,1,1,0,1,1,439.6215
1987,C,30,0-30,9,0,0,1,1,1,0,1,1,434.346
1987,C,31,0-30,6,9.52,28,10.52,1,1,0,1,1,726.2547
1987,C,32,0-30,3,2.04,6,3.04,1,1,0,1,1,692.8435
1987,C,33,0-30,9,0,0,1,1,1,0,1,1,597.8852
1987,C,34,0-30,3,2.04,6,3.04,1,1,0,1,1,492.3761
1987,C,35,0-30,5,5.44,16,6.44,1,1,0,1,1,629.538
1987,C,36,0-30,3,2.04,6,3.04,1,1,0,1,1,615.4701
1987,C,37,0-30,2,1.02,3,2.02,1,1,0,1,1,559.1986
1987,C,38,0-30,5,5.44,16,6.44,1,1,0,1,1,541.6137
1987,C,39,0-30,1,0,0,1,1,1,0,1,1,634.8135
1987,C,40,0-30,7,17,50,18,1,1,0,1,1,1062.1256
1987,C,41,0-30,1,0,0,1,1,1,0,1,1,385.1084
1987,C,42,0-30,2,1.02,3,2.02,1,1,0,1,1,968.9258
1987,C,43,0-30,1,0,0,1,1,1,0,1,1,747.3566
1987,C,44,0-30,8,27.2,80,28.2,1,1,0,1,1,165.2977
1987,C,45,0-30,4,3.4,10,4.4,1,1,0,1,1,546.8892
1987,C,46,0-30,4,3.4,10,4.4,1,1,0,1,1,779.0093
1987,C,47,0-30,1,0,0,1,1,1,0,1,1,640.0889
1987,C,48,0-30,7,17,50,18,1,1,0,1,1,729.7717
1987,C,49,0-30,5,5.44,16,6.44,1,1,0,1,1,750.8735
1987,C,50,0-30,4,3.4,10,4.4,1,1,0,1,1,796.5942
1987,C,51,0-30,8,27.2,80,28.2,1,1,0,1,1,534.5797
1987,C,52,0-30,6,9.52,28,10.52,1,1,0,1,1,1492.9546
1987,C,53,0-30,9,0,0,1,1,1,0,1,1,311.252
1987,C,54,0-30,9,0,0,1,1,1,0,1,1,430.8291
1987,D,1,0-30,1,0,0,1,1,1,1,1,1,692.6676
1987,D,2,0-30,9,0,0,1,1,1,1,1,1,622.3282
1987,D,3,0-30,7,17,50,18,1,1,1,1,1,1671.7927
1987,D,4,0-30,2,1.02,3,2.02,1,1,1,1,1,800.9904
1987,D,5,0-30,5,5.44,16,6.44,1,1,1,1,1,780.5919
1987,D,6,0-30,3,2.04,6,3.04,1,1,1,1,1,1626.9513
1987,D,7,0-30,3,2.04,6,3.04,1,1,1,1,1,571.3321
1987,D,8,0-30,8,27.2,80,28.2,1,1,1,1,1,975.9597
1987,D,9,0-30,8,27.2,80,28.2,1,1,1,1,1,545.3065
1987,D,10,0-30,4,3.4,10,4.4,1,1,1,1,1,584.6966
1987,D,11,0-30,3,2.04,6,3.04,1,1,1,1,1,536.6899
1987,D,12,0-30,2,1.02,3,2.02,1,1,1,1,1,994.4238
1987,D,13,0-30,7,17,50,18,1,1,1,1,1,758.435
1987,D,14,0-30,4,3.4,10,4.4,1,1,1,1,1,470.5709
1987,D,15,0-30,6,9.52,28,10.52,1,1,1,1,1,1005.1506
1987,D,16,0-30,6,9.52,28,10.52,1,1,1,1,1,823.1473
1987,D,17,0-30,1,0,0,1,1,1,1,1,1,364.0066
1987,D,18,0-30,6,9.52,28,10.52,1,1,1,1,1,1037.5067
1987,D,19,0-30,5,5.44,16,6.44,1,1,1,1,1,1154.7979
1987,D,20,0-30,8,27.2,80,28.2,1,1,1,1,1,472.681
1987,D,21,0-30,5,5.44,16,6.44,1,1,1,1,1,943.076
1987,D,22,0-30,4,3.4,10,4.4,1,1,1,1,1,704.6253
1987,D,23,0-30,6,9.52,28,10.52,1,1,1,1,1,1018.8668
1987,D,24,0-30,3,2.04,6,3.04,1,1,1,1,1,854.8001
1987,D,25,0-30,9,0,0,1,1,1,1,1,1,968.0466
1987,D,26,0-30,5,5.44,16,6.44,1,1,1,1,1,1000.5785
1987,D,27,0-30,8,27.2,80,28.2,1,1,1,1,1,874.1434
1987,D,28,0-30,7,17,50,18,1,1,1,1,1,1335.9218
1987,D,29,0-30,4,3.4,10,4.4,1,1,1,1,1,1431.9352
1987,D,30,0-30,7,17,50,18,1,1,1,1,1,1089.5579
1987,D,31,0-30,2,1.02,3,2.02,1,1,1,1,1,690.7333
