Year,Field,Plot,Ntrt,NAdd(g/m2/yr),BurnTrtStarting1992,LastYrNtrtRec,Original N,Original Burn,Original Treatment,Root Biomass (g/m^2)
year,field,plot,depth,ntrt,nadd,burn.trt.1992,ntrt.origin,burn.origin,trt.origin,mass.root
1988,A,2,9,0,0,1991,1,1,1,484.7033
1988,A,2,9,0,0,1991,1,1,1,507.9248
1988,A,3,9,0,0,CurrentYear,1,1,1,446.0007
1988,A,3,9,0,0,CurrentYear,1,1,1,507.3719
1988,A,6,9,0,0,1991,1,1,1,346.4799
1988,A,6,9,0,0,1991,1,1,1,516.2182
1988,A,7,9,0,0,1991,1,1,1,779.5798
1988,A,7,9,0,0,1991,1,1,1,827.4972
1988,A,37,9,0,0,CurrentYear,1,1,1,468.1165
1988,A,37,9,0,0,CurrentYear,1,1,1,742.1673
1988,A,50,9,0,0,1991,1,1,1,422.042
1988,A,50,9,0,0,1991,1,1,1,871.7287
1988,B,5,9,0,1,CurrentYear,1,1,1,497.6041
1988,B,5,9,0,1,CurrentYear,1,1,1,946.185
1988,B,27,9,0,0,CurrentYear,1,1,1,381.4965
1988,B,27,9,0,0,CurrentYear,1,1,1,768.1533
1988,B,29,9,0,0,CurrentYear,1,1,1,578.6952
1988,B,29,9,0,0,CurrentYear,1,1,1,421.6734
1988,B,30,9,0,1,CurrentYear,1,1,1,486.5463
1988,B,30,9,0,1,CurrentYear,1,1,1,540.1769
1988,B,34,9,0,0,CurrentYear,1,1,1,366.7527
1988,B,34,9,0,0,CurrentYear,1,1,1,1492.9967
1988,B,43,9,0,1,CurrentYear,1,1,1,1196.0929
1988,B,43,9,0,1,CurrentYear,1,1,1,378.5477
1988,C,9,9,0,0,1991,1,1,1,436.7858
1988,C,9,9,0,0,1991,1,1,1,423.7007
1988,C,21,9,0,0,CurrentYear,1,1,1,770.3649
1988,C,21,9,0,0,CurrentYear,1,1,1,1194.6185
1988,C,32,9,0,0,1991,1,1,1,246.9591
1988,C,32,9,0,0,1991,1,1,1,692.7755
1988,C,39,9,0,0,CurrentYear,1,1,1,399.9263
1988,C,39,9,0,0,CurrentYear,1,1,1,726.502
1988,C,40,9,0,0,1991,1,1,1,460.7446
1988,C,40,9,0,0,1991,1,1,1,645.9639
1988,C,53,9,0,0,CurrentYear,1,1,1,267.2318
1988,C,53,9,0,0,CurrentYear,1,1,1,738.85
1990,A,2,9,0,0,1991,1,1,1,630.8515
1990,A,3,9,0,0,CurrentYear,1,1,1,518.9827
1990,A,6,9,0,0,1991,1,1,1,634.906
1990,A,7,9,0,0,1991,1,1,1,818.6509
1990,A,37,9,0,0,CurrentYear,1,1,1,417.4346
1990,A,50,9,0,0,1991,1,1,1,450.6082
1990,B,5,9,0,1,CurrentYear,1,1,1,486.362
1990,B,27,9,0,0,CurrentYear,1,1,1,494.2868
1990,B,29,9,0,0,CurrentYear,1,1,1,377.8105
1990,B,30,9,0,1,CurrentYear,1,1,1,539.2554
1990,B,34,9,0,0,CurrentYear,1,1,1,910.7999
1990,B,43,9,0,1,CurrentYear,1,1,1,686.1408
1990,C,9,9,0,0,1991,1,1,1,604.8655
1990,C,21,9,0,0,CurrentYear,1,1,1,858.6436
1990,C,32,9,0,0,1991,1,1,1,366.7527
1990,C,39,9,0,0,CurrentYear,1,1,1,445.8164
1990,C,40,9,0,0,1991,1,1,1,625.3225
1990,C,53,9,0,0,CurrentYear,1,1,1,348.6915
1991,A,2,9,0,0,1991,1,1,1,492.0752
1991,A,3,9,0,0,CurrentYear,1,1,1,320.6782
1991,A,6,9,0,0,1991,1,1,1,908.5883
1991,A,7,9,0,0,1991,1,1,1,1094.7291
1991,A,37,9,0,0,CurrentYear,1,1,1,928.861
1991,A,50,9,0,0,1991,1,1,1,746.4062
1991,B,5,9,0,1,CurrentYear,1,1,1,436.7858
1991,B,27,9,0,0,CurrentYear,1,1,1,724.2905
1991,B,29,9,0,0,CurrentYear,1,1,1,252.488
