species,total_biomass,functional.group,duration,lifeform,pathway,origin
ACER NEGUNDO,0.118,W,PERENNIAL,WOODY,C3,NATIVE
ACHILLEA MILLEFOLIUM(LANULOSA),5503.80322,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
AGROPYRON REPENS,632973.295,C3,PERENNIAL,GRASS,C3,INTRODUCED
AGROSTIS ALBA,0.753,C3,PERENNIAL,GRASS,C3,INTRODUCED
AGROSTIS SCABRA,3995.742,C3,PERENNIAL,GRASS,C3,NATIVE
AMBROSIA ARTEMISIIFOLIA ELATIOR,6183.5561,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
AMBROSIA CORONOPIFOLIA,14606.6059,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
AMPHICARPA BRACTEATA,0.067,L,ANNUAL,LEGUME,C3,INTRODUCED
ANDROPOGON GERARDI,4917.78736,C4,PERENNIAL,GRASS,C4,NATIVE
ANEMONE CYLINDRICA,1000.7577,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ANTENNARIA NEGLECTA,57.695,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ANTENNARIA PLANTAGINIFOLIA,3.1,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ANTENNARIA SP.,0.036,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
APOCYNUM ANDROSAEMIFOLIUM,8526.9596,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
APOCYNUM SP.,0.616,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN
ARABIS DIVARICARPA,63.929,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
ARABIS GLABRA,18.767,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
ARABIS HIRSUTA,7.807,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
ARABIS SP.,7.015,F,BIENNIAL,NON-LEGUME FORB,C3,UNKNOWN
ARISTIDA BASIRAMEA,215.764,C4,ANNUAL,GRASS,C4,NATIVE
ARISTIDA SP.,0.103,C4,ANNUAL,GRASS,C4,UNKNOWN
ARTEMISIA (CAUDATA) CAMPESTRIS,1376.811,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
ARTEMISIA LUDOVICIANA,70416.96586,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASCLEPIAS INCARNATA,3.677,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASCLEPIAS OVALIFOLIA,360.57733,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASCLEPIAS SP.,1.1576,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN
ASCLEPIAS SYRIACA,8720.19184,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASCLEPIAS TUBEROSA,2353.2029,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASCLEPIAS VERTICILLATA,5.225,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASTER AZUREUS,9495.90527,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASTER ERICOIDES,207.2,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASTER SP.,1.2,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASTRAGALUS CANADENSIS,0.07,L,PERENNIAL,LEGUME,C3,NATIVE
BERTEROA INCANA,13942.35283,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED
BOUTELOUA GRACILIS,0.0333,C4,PERENNIAL,GRASS,C4,NATIVE
BROMUS INERMIS,4.233,C3,PERENNIAL,GRASS,C3,INTRODUCED
BROMUS SP.,1.173,C3,PERENNIAL,GRASS,C3,INTRODUCED
BUCHLOE DACTYLOIDES,0.133,C4,PERENNIAL,GRASS,C4,NATIVE
CALAMOVILFA LONGIFOLIA,6.167,C4,PERENNIAL,GRASS,C4,NATIVE
CAMPANULA ROTUNDIFOLIA,149.349,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
CAREX SP.,9246.93779,S,PERENNIAL,SEDGE,C3,NATIVE
CEANOTHUS AMERICANUS,421.43,W,PERENNIAL,WOODY,C3,NATIVE
CENCHRUS LONGISPINUS,903.647,C4,ANNUAL,GRASS,C4,NATIVE
CHENOPODIUM ALBUM,12997.44458,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED
CHENOPODIUM LEPTOPHYLLUM,660.1539,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
CHENOPODIUM SP.,0.3887,F,UNKNOWN,NON-LEGUME FORB,C3,UNKNOWN
CHRYSOPSIS VILLOSA,65.733,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
CIRSIUM ARVENSE,40.803,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED
CIRSIUM DISCOLOR,4.8333,F,"BIENNIAL, PERENNIAL",NON-LEGUME FORB,C3,NATIVE
CIRSIUM SP.,33.424,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN
COMANDRA RICHARDSIANA,1.643,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
CONVOLVULUS ARVENSIS,0.6333,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED
COREOPSIS PALMATA,1.84,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
CORYLUS AMERICANUS,17532.441,W,PERENNIAL,WOODY,C3,NATIVE
CREPIS TECTORUM,913.056,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED
CYPERUS FILICULMIS,31.907,S,PERENNIAL,SEDGE,C4,NATIVE
CYPERUS SCHWEINITZII,52.973,S,PERENNIAL,SEDGE,C4,NATIVE
CYPERUS SP.,1311.27203,S,PERENNIAL,SEDGE,C4,NATIVE
