"species","totalbiomass","functional.group","duration","lifeform","pathway","taxon","specid","x5lspecid","origin","itistaxon","itisrecognizedname","family","countspecies","new.name..usda.","comment","totalbiomass2","spyesno"
"AGROPYRON REPENS",496374.02799,"C3","PERENNIAL","GRASS","C3",100,"Agrorepe","Agrre","INTRODUCED",40382,"Agropyron repens","POACEAE","Y","","",496375.02799,"no"
"POA PRATENSIS",266974.22525,"C3","PERENNIAL","GRASS","C3",117,"Poaprate","Poapr","NATIVE AND/OR INTRODUCED",41088,"Poa pratensis","POACEAE","Y","","",266975.22525,"no"
"SCHIZACHYRIUM SCOPARIUM",178948.06749,"C4","PERENNIAL","GRASS","C4",103,"Schiscop","Schsc","NATIVE",42076,"Schizachyrium scoparium","POACEAE","Y","","",178949.06749,"no"
"ARTEMISIA LUDOVICIANA",49131.19286,"F","PERENNIAL","NON-LEGUME FORB","C3",508,"Arteludo","Artlu","NATIVE",35474,"Artemisia ludoviciana","ASTERACEAE","Y","","",49132.19286,"no"
"SOLIDAGO RIGIDA",24654.766,"F","PERENNIAL","NON-LEGUME FORB","C3",562,"Solirigi","Solri","NATIVE",36297,"Solidago rigida","ASTERACEAE","Y","","",24655.766,"no"
"RUBUS SP.",19551.18717,"W","PERENNIAL","WOODY","C3",305,"Rubussp","Rubsp","NATIVE",NA,"","ROSACEAE","Y","","",19552.18717,"yes"
"PANICUM OLIGOSANTHES",16572.44737,"C3","PERENNIAL","GRASS","C3",111,"Paniolig","Panol","NATIVE",40912,"Panicum oligosanthes","POACEAE","Y","","",16573.44737,"no"
"ROSA ARKANSANA",14914.58577,"W","PERENNIAL","WOODY","C3",304,"Rosaarka","Rosar","NATIVE",24815,"Rosa arkansana","ROSACEAE","Y","","",14915.58577,"no"
"POLYGONUM CONVOLVULUS",14818.37534,"F","ANNUAL","NON-LEGUME FORB","C3",548,"Polyconv","Polco","INTRODUCED",20853,"Polygonum convolvulus","POLYGONACEAE","Y","","",14819.37534,"no"
"SETARIA LUTESCENS (GLAUCA)",14425.29456,"C4","ANNUAL","GRASS","C4",118,"Setalute","Setlu","INTRODUCED",565884,"Setaria glauca","POACEAE","Y","","",14426.29456,"no"
"EUPHORBIA COROLLATA",12334.85665,"F","PERENNIAL","NON-LEGUME FORB","C3",523,"Euphcoro","Eupco","NATIVE",28057,"Euphorbia corollata","EUPHORBIACEAE","Y","","",12335.85665,"no"
"AMBROSIA CORONOPIFOLIA",11911.4819,"F","PERENNIAL","NON-LEGUME FORB","C3",502,"Ambrcoro","Ambco","NATIVE",182425,"Ambrosia coronopifolia","ASTERACEAE","Y","","",11912.4819,"no"
"BERTEROA INCANA",11911.31683,"F","BIENNIAL","NON-LEGUME FORB","C3",513,"Bertinca","Berin","INTRODUCED",23052,"Berteroa incana","BRASSICACEAE","Y","","",11912.31683,"no"
